Ville,CP,Region
Rouziers,15600,Auvergne-Rhône-Alpes
Ruynes-en-Margeride,15320,Auvergne-Rhône-Alpes
Saignes,15240,Auvergne-Rhône-Alpes
Saint-Amandin,15190,Auvergne-Rhône-Alpes
Sainte-Anastasie,15170,Auvergne-Rhône-Alpes
Saint-Antoine,15220,Auvergne-Rhône-Alpes
Saint-Bonnet-de-Condat,15190,Auvergne-Rhône-Alpes
Saint-Bonnet-de-Salers,15140,Auvergne-Rhône-Alpes
Saint-Cernin,15310,Auvergne-Rhône-Alpes
Saint-Chamant,15140,Auvergne-Rhône-Alpes
Saint-Cirgues-de-Jordanne,15590,Auvergne-Rhône-Alpes
Saint-Cirgues-de-Malbert,15140,Auvergne-Rhône-Alpes
Saint-Clément,15800,Auvergne-Rhône-Alpes
Saint-Constant-Fournoulès,15600,Auvergne-Rhône-Alpes
Saint-Étienne-Cantalès,15150,Auvergne-Rhône-Alpes
Saint-Étienne-de-Carlat,15130,Auvergne-Rhône-Alpes
Saint-Étienne-de-Maurs,15600,Auvergne-Rhône-Alpes
Saint-Étienne-de-Chomeil,15400,Auvergne-Rhône-Alpes
Sainte-Eulalie,15140,Auvergne-Rhône-Alpes
Saint-Flour,15100,Auvergne-Rhône-Alpes
Saint-Georges,15100,Auvergne-Rhône-Alpes
Saint-Gérons,15150,Auvergne-Rhône-Alpes
Saint-Hippolyte,15400,Auvergne-Rhône-Alpes
Saint-Illide,15310,Auvergne-Rhône-Alpes
Saint-Jacques-des-Blats,15800,Auvergne-Rhône-Alpes
Saint-Julien-de-Toursac,15600,Auvergne-Rhône-Alpes
Saint-Mamet-la-Salvetat,15220,Auvergne-Rhône-Alpes
Sainte-Marie,15230,Auvergne-Rhône-Alpes
Saint-Martial,15110,Auvergne-Rhône-Alpes
Saint-Martin-Cantalès,15140,Auvergne-Rhône-Alpes
Saint-Martin-sous-Vigouroux,15230,Auvergne-Rhône-Alpes
Saint-Martin-Valmeroux,15140,Auvergne-Rhône-Alpes
Saint-Mary-le-Plain,15500,Auvergne-Rhône-Alpes
Saint-Paul-des-Landes,15250,Auvergne-Rhône-Alpes
Saint-Paul-de-Salers,15140,Auvergne-Rhône-Alpes
Saint-Pierre,15350,Auvergne-Rhône-Alpes
Saint-Poncy,15500,Auvergne-Rhône-Alpes
Saint-Projet-de-Salers,15140,Auvergne-Rhône-Alpes
Saint-Rémy-de-Chaudes-Aigues,15110,Auvergne-Rhône-Alpes
Saint-Santin-Cantalès,15150,Auvergne-Rhône-Alpes
Saint-Santin-de-Maurs,15600,Auvergne-Rhône-Alpes
Saint-Saturnin,15190,Auvergne-Rhône-Alpes
Saint-Saury,15290,Auvergne-Rhône-Alpes
Saint-Simon,15130,Auvergne-Rhône-Alpes
Saint-Urcize,15110,Auvergne-Rhône-Alpes
Saint-Victor,15150,Auvergne-Rhône-Alpes
Saint-Vincent-de-Salers,15380,Auvergne-Rhône-Alpes
Salers,15140,Auvergne-Rhône-Alpes
Salins,15200,Auvergne-Rhône-Alpes
Sansac-de-Marmiesse,15130,Auvergne-Rhône-Alpes
Sansac-Veinazès,15120,Auvergne-Rhône-Alpes
Sauvat,15240,Auvergne-Rhône-Alpes
Ségalassière,15290,Auvergne-Rhône-Alpes
Ségur-les-Villas,15300,Auvergne-Rhône-Alpes
Sénezergues,15340,Auvergne-Rhône-Alpes
Sériers,15100,Auvergne-Rhône-Alpes
Siran,15150,Auvergne-Rhône-Alpes
Soulages,15100,Auvergne-Rhône-Alpes
Sourniac,15200,Auvergne-Rhône-Alpes
Talizat,15170,Auvergne-Rhône-Alpes
Tanavelle,15100,Auvergne-Rhône-Alpes
Teissières-de-Cornet,15250,Auvergne-Rhône-Alpes
Teissières-lès-Bouliès,15130,Auvergne-Rhône-Alpes
Ternes,15100,Auvergne-Rhône-Alpes
Thiézac,15800,Auvergne-Rhône-Alpes
Tiviers,15100,Auvergne-Rhône-Alpes
Tournemire,15310,Auvergne-Rhône-Alpes
Trémouille,15270,Auvergne-Rhône-Alpes
Trinitat,15110,Auvergne-Rhône-Alpes
Trioulou,15600,Auvergne-Rhône-Alpes
Trizac,15400,Auvergne-Rhône-Alpes
Ussel,15300,Auvergne-Rhône-Alpes
Vabres,15100,Auvergne-Rhône-Alpes
Valette,15400,Auvergne-Rhône-Alpes
Valjouze,15170,Auvergne-Rhône-Alpes
Valuéjols,15300,Auvergne-Rhône-Alpes
Vaulmier,15380,Auvergne-Rhône-Alpes
Vebret,15240,Auvergne-Rhône-Alpes
Védrines-Saint-Loup,15100,Auvergne-Rhône-Alpes
Velzic,15590,Auvergne-Rhône-Alpes
Vernols,15160,Auvergne-Rhône-Alpes
Veyrières,15350,Auvergne-Rhône-Alpes
Vézac,15130,Auvergne-Rhône-Alpes
Vèze,15160,Auvergne-Rhône-Alpes
Vezels-Roussy,15130,Auvergne-Rhône-Alpes
Vic-sur-Cère,15800,Auvergne-Rhône-Alpes
Vieillespesse,15500,Auvergne-Rhône-Alpes
Vieillevie,15120,Auvergne-Rhône-Alpes
Vigean,15200,Auvergne-Rhône-Alpes
Villedieu,15100,Auvergne-Rhône-Alpes
Virargues,15300,Auvergne-Rhône-Alpes
Vitrac,15220,Auvergne-Rhône-Alpes
Ydes,15210,Auvergne-Rhône-Alpes
Yolet,15130,Auvergne-Rhône-Alpes
Ytrac,15000,Auvergne-Rhône-Alpes
Ytrac,15130,Auvergne-Rhône-Alpes
Rouget-Pers,15290,Auvergne-Rhône-Alpes
Besse,15140,Auvergne-Rhône-Alpes
Abzac,16500,Nouvelle-Aquitaine
Adjots,16700,Nouvelle-Aquitaine
Agris,16110,Nouvelle-Aquitaine
Aignes-et-Puypéroux,16190,Nouvelle-Aquitaine
Aigre,16140,Nouvelle-Aquitaine
Alloue,16490,Nouvelle-Aquitaine
Ambérac,16140,Nouvelle-Aquitaine
Ambernac,16490,Nouvelle-Aquitaine
Ambleville,16300,Nouvelle-Aquitaine
Anais,16560,Nouvelle-Aquitaine
Angeac-Champagne,16130,Nouvelle-Aquitaine
Angeac-Charente,16120,Nouvelle-Aquitaine
Angeduc,16300,Nouvelle-Aquitaine
Angoulême,16000,Nouvelle-Aquitaine
Ansac-sur-Vienne,16500,Nouvelle-Aquitaine
Anville,16170,Nouvelle-Aquitaine
Ars,16130,Nouvelle-Aquitaine
Asnières-sur-Nouère,16290,Nouvelle-Aquitaine
Aubeterre-sur-Dronne,16390,Nouvelle-Aquitaine
Aunac-sur-Charente,16460,Nouvelle-Aquitaine
Aussac-Vadalle,16560,Nouvelle-Aquitaine
Baignes-Sainte-Radegonde,16360,Nouvelle-Aquitaine
Balzac,16430,Nouvelle-Aquitaine
Barbezières,16140,Nouvelle-Aquitaine
Barbezieux-Saint-Hilaire,16300,Nouvelle-Aquitaine
Bardenac,16210,Nouvelle-Aquitaine
Barret,16300,Nouvelle-Aquitaine
Barro,16700,Nouvelle-Aquitaine
Bassac,16120,Nouvelle-Aquitaine
Bayers,16460,Nouvelle-Aquitaine
Bazac,16210,Nouvelle-Aquitaine
Beaulieu-sur-Sonnette,16450,Nouvelle-Aquitaine
Bécheresse,16250,Nouvelle-Aquitaine
Bellon,16210,Nouvelle-Aquitaine
Benest,16350,Nouvelle-Aquitaine
Bernac,16700,Nouvelle-Aquitaine
Berneuil,16480,Nouvelle-Aquitaine
Bessac,16250,Nouvelle-Aquitaine
Bessé,16140,Nouvelle-Aquitaine
Bioussac,16700,Nouvelle-Aquitaine
Birac,16120,Nouvelle-Aquitaine
Côteaux du Blanzacais,16250,Nouvelle-Aquitaine
Blanzaguet-Saint-Cybard,16320,Nouvelle-Aquitaine
Boisbreteau,16480,Nouvelle-Aquitaine
Bonnes,16390,Nouvelle-Aquitaine
Bonneuil,16120,Nouvelle-Aquitaine
Bonneville,16170,Nouvelle-Aquitaine
Bors Canton de Tude-et-Lavalette,16190,Nouvelle-Aquitaine
Bors Canton de Charente-Sud,16360,Nouvelle-Aquitaine
Bouchage,16350,Nouvelle-Aquitaine
Bouëx,16410,Nouvelle-Aquitaine
Bourg-Charente,16200,Nouvelle-Aquitaine
Bouteville,16120,Nouvelle-Aquitaine
Boutiers-Saint-Trojan,16100,Nouvelle-Aquitaine
Brettes,16240,Nouvelle-Aquitaine
Bréville,16370,Nouvelle-Aquitaine
Brie,16590,Nouvelle-Aquitaine
Brie-sous-Barbezieux,16300,Nouvelle-Aquitaine
Brie-sous-Chalais,16210,Nouvelle-Aquitaine
Brigueuil,16420,Nouvelle-Aquitaine
Brillac,16500,Nouvelle-Aquitaine
Brossac,16480,Nouvelle-Aquitaine
Bunzac,16110,Nouvelle-Aquitaine
Cellefrouin,16260,Nouvelle-Aquitaine
Cellettes,16230,Nouvelle-Aquitaine
Chabanais,16150,Nouvelle-Aquitaine
Chabrac,16150,Nouvelle-Aquitaine
Chadurie,16250,Nouvelle-Aquitaine
Chalais,16210,Nouvelle-Aquitaine
Challignac,16300,Nouvelle-Aquitaine
Champagne-Vigny,16250,Nouvelle-Aquitaine
Champagne-Mouton,16350,Nouvelle-Aquitaine
Champmillon,16290,Nouvelle-Aquitaine
Champniers,16430,Nouvelle-Aquitaine
Chantillac,16360,Nouvelle-Aquitaine
Chapelle,16140,Nouvelle-Aquitaine
Boisné-La Tude,16320,Nouvelle-Aquitaine
Charmé,16140,Nouvelle-Aquitaine
Charras,16380,Nouvelle-Aquitaine
Chasseneuil-sur-Bonnieure,16260,Nouvelle-Aquitaine
Chassenon,16150,Nouvelle-Aquitaine
Chassiecq,16350,Nouvelle-Aquitaine
Chassors,16200,Nouvelle-Aquitaine
Châteaubernard,16100,Nouvelle-Aquitaine
Châteauneuf-sur-Charente,16120,Nouvelle-Aquitaine
Châtignac,16480,Nouvelle-Aquitaine
Chazelles,16380,Nouvelle-Aquitaine
Chenommet,16460,Nouvelle-Aquitaine
Chenon,16460,Nouvelle-Aquitaine
Cherves-Châtelars,16310,Nouvelle-Aquitaine
Cherves-Richemont,16370,Nouvelle-Aquitaine
Chèvrerie,16240,Nouvelle-Aquitaine
Chillac,16480,Nouvelle-Aquitaine
Chirac,16150,Nouvelle-Aquitaine
Claix,16440,Nouvelle-Aquitaine
Cognac,16100,Nouvelle-Aquitaine
Combiers,16320,Nouvelle-Aquitaine
Condac,16700,Nouvelle-Aquitaine
Condéon,16360,Nouvelle-Aquitaine
Confolens,16500,Nouvelle-Aquitaine
Coulgens,16560,Nouvelle-Aquitaine
Coulonges,16330,Nouvelle-Aquitaine
Courbillac,16200,Nouvelle-Aquitaine
Courcôme,16240,Nouvelle-Aquitaine
Courgeac,16190,Nouvelle-Aquitaine
Courlac,16210,Nouvelle-Aquitaine
Couronne,16400,Nouvelle-Aquitaine
Couture,16460,Nouvelle-Aquitaine
Cressac-Saint-Genis,16250,Nouvelle-Aquitaine
Criteuil-la-Magdeleine,16300,Nouvelle-Aquitaine
Curac,16210,Nouvelle-Aquitaine
Deviat,16190,Nouvelle-Aquitaine
Dignac,16410,Nouvelle-Aquitaine
Dirac,16410,Nouvelle-Aquitaine
Douzat,16290,Nouvelle-Aquitaine
Ébréon,16140,Nouvelle-Aquitaine
Échallat,16170,Nouvelle-Aquitaine
Écuras,16220,Nouvelle-Aquitaine
Édon,16320,Nouvelle-Aquitaine
Empuré,16240,Nouvelle-Aquitaine
Épenède,16490,Nouvelle-Aquitaine
Éraville,16120,Nouvelle-Aquitaine
Essards,16210,Nouvelle-Aquitaine
Esse,16500,Nouvelle-Aquitaine
Étagnac,16150,Nouvelle-Aquitaine
Étriac,16250,Nouvelle-Aquitaine
Exideuil,16150,Nouvelle-Aquitaine
Eymouthiers,16220,Nouvelle-Aquitaine
Faye,16700,Nouvelle-Aquitaine
Feuillade,16380,Nouvelle-Aquitaine
Fléac,16730,Nouvelle-Aquitaine
Fleurac,16200,Nouvelle-Aquitaine
Fontclaireau,16230,Nouvelle-Aquitaine
Fontenille,16230,Nouvelle-Aquitaine
Forêt-de-Tessé,16240,Nouvelle-Aquitaine
Fouquebrune,16410,Nouvelle-Aquitaine
Fouqueure,16140,Nouvelle-Aquitaine
Foussignac,16200,Nouvelle-Aquitaine
Garat,16410,Nouvelle-Aquitaine
Gardes-le-Pontaroux,16320,Nouvelle-Aquitaine
Genac-Bignac,16170,Nouvelle-Aquitaine
Genouillac,16270,Nouvelle-Aquitaine
Gensac-la-Pallue,16130,Nouvelle-Aquitaine
Genté,16130,Nouvelle-Aquitaine
Gimeux,16130,Nouvelle-Aquitaine
Gondeville,16200,Nouvelle-Aquitaine
Gond-Pontouvre,16160,Nouvelle-Aquitaine
Gours,16140,Nouvelle-Aquitaine
Gourville,16170,Nouvelle-Aquitaine
Grand-Madieu,16450,Nouvelle-Aquitaine
Grassac,16380,Nouvelle-Aquitaine
Guimps,16300,Nouvelle-Aquitaine
Guizengeard,16480,Nouvelle-Aquitaine
Gurat,16320,Nouvelle-Aquitaine
Hiersac,16290,Nouvelle-Aquitaine
Hiesse,16490,Nouvelle-Aquitaine
Houlette,16200,Nouvelle-Aquitaine
Isle-d'Espagnac,16340,Nouvelle-Aquitaine
Jarnac,16200,Nouvelle-Aquitaine
Jauldes,16560,Nouvelle-Aquitaine
Javrezac,16100,Nouvelle-Aquitaine
Juignac,16190,Nouvelle-Aquitaine
Juillac-le-Coq,16130,Nouvelle-Aquitaine
Juillé,16230,Nouvelle-Aquitaine
Julienne,16200,Nouvelle-Aquitaine
Val des Vignes,16250,Nouvelle-Aquitaine
Lachaise,16300,Nouvelle-Aquitaine
Ladiville,16120,Nouvelle-Aquitaine
Lagarde-sur-le-Né,16300,Nouvelle-Aquitaine
Laprade,16390,Nouvelle-Aquitaine
Lessac,16500,Nouvelle-Aquitaine
Lesterps,16420,Nouvelle-Aquitaine
Lésignac-Durand,16310,Nouvelle-Aquitaine
Lichères,16460,Nouvelle-Aquitaine
Ligné,16140,Nouvelle-Aquitaine
Lignières-Sonneville,16130,Nouvelle-Aquitaine
Linars,16730,Nouvelle-Aquitaine
Lindois,16310,Nouvelle-Aquitaine
Londigny,16700,Nouvelle-Aquitaine
Longré,16240,Nouvelle-Aquitaine
Lonnes,16230,Nouvelle-Aquitaine
Roumazières-Loubert,16270,Nouvelle-Aquitaine
Louzac-Saint-André,16100,Nouvelle-Aquitaine
Lupsault,16140,Nouvelle-Aquitaine
Lussac,16450,Nouvelle-Aquitaine
Luxé,16230,Nouvelle-Aquitaine
Magdeleine,16240,Nouvelle-Aquitaine
Magnac-Lavalette-Villars,16320,Nouvelle-Aquitaine
Magnac-sur-Touvre,16600,Nouvelle-Aquitaine
Maine-de-Boixe,16230,Nouvelle-Aquitaine
Mainxe,16200,Nouvelle-Aquitaine
Mainzac,16380,Nouvelle-Aquitaine
Bellevigne,16120,Nouvelle-Aquitaine
Manot,16500,Nouvelle-Aquitaine
Mansle,16230,Nouvelle-Aquitaine
Marcillac-Lanville,16140,Nouvelle-Aquitaine
Mareuil,16170,Nouvelle-Aquitaine
Marillac-le-Franc,16110,Nouvelle-Aquitaine
Marsac,16570,Nouvelle-Aquitaine
Marthon,16380,Nouvelle-Aquitaine
Massignac,16310,Nouvelle-Aquitaine
Mazerolles,16310,Nouvelle-Aquitaine
Mazières,16270,Nouvelle-Aquitaine
Médillac,16210,Nouvelle-Aquitaine
Mérignac,16200,Nouvelle-Aquitaine
Merpins,16100,Nouvelle-Aquitaine
Mesnac,16370,Nouvelle-Aquitaine
Métairies,16200,Nouvelle-Aquitaine
Mons,16140,Nouvelle-Aquitaine
Montboyer,16620,Nouvelle-Aquitaine
Montbron,16220,Nouvelle-Aquitaine
Montmérac,16300,Nouvelle-Aquitaine
Montembœuf,16310,Nouvelle-Aquitaine
Montignac-Charente,16330,Nouvelle-Aquitaine
Montignac-le-Coq,16390,Nouvelle-Aquitaine
Montigné,16170,Nouvelle-Aquitaine
Montjean,16240,Nouvelle-Aquitaine
Montmoreau,16190,Nouvelle-Aquitaine
Montrollet,16420,Nouvelle-Aquitaine
Mornac,16600,Nouvelle-Aquitaine
Mosnac,16120,Nouvelle-Aquitaine
Moulidars,16290,Nouvelle-Aquitaine
Mouthiers-sur-Boëme,16440,Nouvelle-Aquitaine
Mouton,16460,Nouvelle-Aquitaine
Moutonneau,16460,Nouvelle-Aquitaine
Mouzon,16310,Nouvelle-Aquitaine
Nabinaud,16390,Nouvelle-Aquitaine
Nanclars,16230,Nouvelle-Aquitaine
Nanteuil-en-Vallée,16700,Nouvelle-Aquitaine
Nercillac,16200,Nouvelle-Aquitaine
Nersac,16440,Nouvelle-Aquitaine
Nieuil,16270,Nouvelle-Aquitaine
Nonac,16190,Nouvelle-Aquitaine
Nonaville,16120,Nouvelle-Aquitaine
Oradour,16140,Nouvelle-Aquitaine
Oradour-Fanais,16500,Nouvelle-Aquitaine
Orgedeuil,16220,Nouvelle-Aquitaine
Oriolles,16480,Nouvelle-Aquitaine
Orival,16210,Nouvelle-Aquitaine
Paizay-Naudouin-Embourie,16240,Nouvelle-Aquitaine
Palluaud,16390,Nouvelle-Aquitaine
Parzac,16450,Nouvelle-Aquitaine
Passirac,16480,Nouvelle-Aquitaine
Pérignac,16250,Nouvelle-Aquitaine
Péruse,16270,Nouvelle-Aquitaine
Pillac,16390,Nouvelle-Aquitaine
Pins,16260,Nouvelle-Aquitaine
Plassac-Rouffiac,16250,Nouvelle-Aquitaine
Pleuville,16490,Nouvelle-Aquitaine
Poullignac,16190,Nouvelle-Aquitaine
Poursac,16700,Nouvelle-Aquitaine
Pranzac,16110,Nouvelle-Aquitaine
Pressignac,16150,Nouvelle-Aquitaine
Puymoyen,16400,Nouvelle-Aquitaine
Puyréaux,16230,Nouvelle-Aquitaine
Raix,16240,Nouvelle-Aquitaine
Rancogne,16110,Nouvelle-Aquitaine
Ranville-Breuillaud,16140,Nouvelle-Aquitaine
Reignac,16360,Nouvelle-Aquitaine
Réparsac,16200,Nouvelle-Aquitaine
Rioux-Martin,16210,Nouvelle-Aquitaine
Rivières,16110,Nouvelle-Aquitaine
Rochefoucauld,16110,Nouvelle-Aquitaine
Rochette,16110,Nouvelle-Aquitaine
Ronsenac,16320,Nouvelle-Aquitaine
Rouffiac,16210,Nouvelle-Aquitaine
Rougnac,16320,Nouvelle-Aquitaine
Rouillac,16170,Nouvelle-Aquitaine
Roullet-Saint-Estèphe,16440,Nouvelle-Aquitaine
Roussines,16310,Nouvelle-Aquitaine
Rouzède,16220,Nouvelle-Aquitaine
Ruelle-sur-Touvre,16600,Nouvelle-Aquitaine
Ruffec,16700,Nouvelle-Aquitaine
Saint-Adjutory,16310,Nouvelle-Aquitaine
Saint-Amant-de-Montmoreau,16190,Nouvelle-Aquitaine
Saint-Amant-de-Boixe,16330,Nouvelle-Aquitaine
Saint-Amant-de-Bonnieure,16230,Nouvelle-Aquitaine
Graves-Saint-Amant,16120,Nouvelle-Aquitaine
Saint-Amant-de-Nouère,16170,Nouvelle-Aquitaine
Val-de-Bonnieure,16230,Nouvelle-Aquitaine
Saint-Aulais-la-Chapelle,16300,Nouvelle-Aquitaine
Saint-Avit,16210,Nouvelle-Aquitaine
Saint-Bonnet,16300,Nouvelle-Aquitaine
Saint-Brice,16100,Nouvelle-Aquitaine
Saint-Christophe,16420,Nouvelle-Aquitaine
Saint-Ciers-sur-Bonnieure,16230,Nouvelle-Aquitaine
Saint-Claud,16450,Nouvelle-Aquitaine
Sainte-Colombe,16230,Nouvelle-Aquitaine
Saint-Coutant,16350,Nouvelle-Aquitaine
Saint-Cybardeaux,16170,Nouvelle-Aquitaine
Saint-Eutrope,16190,Nouvelle-Aquitaine
Saint-Félix,16480,Nouvelle-Aquitaine
Saint-Fort-sur-le-Né,16130,Nouvelle-Aquitaine
Saint-Fraigne,16140,Nouvelle-Aquitaine
Saint-Front,16460,Nouvelle-Aquitaine
Saint-Genis-d'Hiersac,16570,Nouvelle-Aquitaine
Saint-Georges,16700,Nouvelle-Aquitaine
Saint-Germain-de-Montbron,16380,Nouvelle-Aquitaine
Saint-Gourson,16700,Nouvelle-Aquitaine
Saint-Groux,16230,Nouvelle-Aquitaine
Saint-Laurent-de-Belzagot,16190,Nouvelle-Aquitaine
Saint-Laurent-de-Céris,16450,Nouvelle-Aquitaine
Saint-Laurent-de-Cognac,16100,Nouvelle-Aquitaine
Saint-Laurent-des-Combes,16480,Nouvelle-Aquitaine
Saint-Léger,16250,Nouvelle-Aquitaine
Saint-Martial,16190,Nouvelle-Aquitaine
Saint-Martin-du-Clocher,16700,Nouvelle-Aquitaine
Saint-Mary,16260,Nouvelle-Aquitaine
Saint-Maurice-des-Lions,16500,Nouvelle-Aquitaine
Saint-Médard,16300,Nouvelle-Aquitaine
Auge-Saint-Médard,16170,Nouvelle-Aquitaine
Saint-Même-les-Carrières,16720,Nouvelle-Aquitaine
Saint-Michel,16470,Nouvelle-Aquitaine
Saint-Palais-du-Né,16300,Nouvelle-Aquitaine
Saint-Preuil,16130,Nouvelle-Aquitaine
Saint-Projet-Saint-Constant,16110,Nouvelle-Aquitaine
Saint-Quentin-sur-Charente,16150,Nouvelle-Aquitaine
Saint-Quentin-de-Chalais,16210,Nouvelle-Aquitaine
Saint-Romain,16210,Nouvelle-Aquitaine
Saint-Saturnin,16290,Nouvelle-Aquitaine
Sainte-Sévère,16200,Nouvelle-Aquitaine
Saint-Séverin,16390,Nouvelle-Aquitaine
Saint-Simeux,16120,Nouvelle-Aquitaine
Saint-Simon,16120,Nouvelle-Aquitaine
Saint-Sornin,16220,Nouvelle-Aquitaine
Sainte-Souline,16480,Nouvelle-Aquitaine
Saint-Sulpice-de-Cognac,16370,Nouvelle-Aquitaine
Saint-Sulpice-de-Ruffec,16460,Nouvelle-Aquitaine
Saint-Vallier,16480,Nouvelle-Aquitaine
Saint-Yrieix-sur-Charente,16710,Nouvelle-Aquitaine
Salles-d'Angles,16130,Nouvelle-Aquitaine
Salles-de-Barbezieux,16300,Nouvelle-Aquitaine
Salles-de-Villefagnan,16700,Nouvelle-Aquitaine
Salles-Lavalette,16190,Nouvelle-Aquitaine
Saulgond,16420,Nouvelle-Aquitaine
Sauvagnac,16310,Nouvelle-Aquitaine
Sauvignac,16480,Nouvelle-Aquitaine
Segonzac,16130,Nouvelle-Aquitaine
Sers,16410,Nouvelle-Aquitaine
Sigogne,16200,Nouvelle-Aquitaine
Sireuil,16440,Nouvelle-Aquitaine
Souffrignac,16380,Nouvelle-Aquitaine
Souvigné,16240,Nouvelle-Aquitaine
Soyaux,16800,Nouvelle-Aquitaine
Suaux,16260,Nouvelle-Aquitaine
Suris,16270,Nouvelle-Aquitaine
Tâche,16260,Nouvelle-Aquitaine
Taizé-Aizie,16700,Nouvelle-Aquitaine
Taponnat-Fleurignac,16110,Nouvelle-Aquitaine
Tâtre,16360,Nouvelle-Aquitaine
Theil-Rabier,16240,Nouvelle-Aquitaine
Torsac,16410,Nouvelle-Aquitaine
Tourriers,16560,Nouvelle-Aquitaine
Touvérac,16360,Nouvelle-Aquitaine
Touvre,16600,Nouvelle-Aquitaine
Touzac,16120,Nouvelle-Aquitaine
Triac-Lautrait,16200,Nouvelle-Aquitaine
Trois-Palis,16730,Nouvelle-Aquitaine
Turgon,16350,Nouvelle-Aquitaine
Tusson,16140,Nouvelle-Aquitaine
Tuzie,16700,Nouvelle-Aquitaine
Valence,16460,Nouvelle-Aquitaine
Vars,16330,Nouvelle-Aquitaine
Vaux-Lavalette,16320,Nouvelle-Aquitaine
Vaux-Rouillac,16170,Nouvelle-Aquitaine
Ventouse,16460,Nouvelle-Aquitaine
Verdille,16140,Nouvelle-Aquitaine
Verneuil,16310,Nouvelle-Aquitaine
Verrières,16130,Nouvelle-Aquitaine
Verteuil-sur-Charente,16510,Nouvelle-Aquitaine
Vervant,16330,Nouvelle-Aquitaine
Vibrac,16120,Nouvelle-Aquitaine
Vieux-Cérier,16350,Nouvelle-Aquitaine
Vieux-Ruffec,16350,Nouvelle-Aquitaine
Vignolles,16300,Nouvelle-Aquitaine
Vilhonneur,16220,Nouvelle-Aquitaine
Villebois-Lavalette,16320,Nouvelle-Aquitaine
Villefagnan,16240,Nouvelle-Aquitaine
Villegats,16700,Nouvelle-Aquitaine
Villejésus,16140,Nouvelle-Aquitaine
Villejoubert,16560,Nouvelle-Aquitaine
Villiers-le-Roux,16240,Nouvelle-Aquitaine
Villognon,16230,Nouvelle-Aquitaine
Vindelle,16430,Nouvelle-Aquitaine
Vitrac-Saint-Vincent,16310,Nouvelle-Aquitaine
Viville,16120,Nouvelle-Aquitaine
Vœuil-et-Giget,16400,Nouvelle-Aquitaine
Vouharte,16330,Nouvelle-Aquitaine
Voulgézac,16250,Nouvelle-Aquitaine
Vouthon,16220,Nouvelle-Aquitaine
Vouzan,16410,Nouvelle-Aquitaine
Xambes,16330,Nouvelle-Aquitaine
Yviers,16210,Nouvelle-Aquitaine
Yvrac-et-Malleyrand,16110,Nouvelle-Aquitaine
Agudelle,17500,Nouvelle-Aquitaine
Aigrefeuille-d'Aunis,17290,Nouvelle-Aquitaine
Île-d'Aix,17123,Nouvelle-Aquitaine
Allas-Bocage,17150,Nouvelle-Aquitaine
Allas-Champagne,17500,Nouvelle-Aquitaine
Anais,17540,Nouvelle-Aquitaine
Andilly,17230,Nouvelle-Aquitaine
Angliers,17540,Nouvelle-Aquitaine
Angoulins,17690,Nouvelle-Aquitaine
Annepont,17350,Nouvelle-Aquitaine
Annezay,17380,Nouvelle-Aquitaine
Antezant-la-Chapelle,17400,Nouvelle-Aquitaine
Arces,17120,Nouvelle-Aquitaine
Archiac,17520,Nouvelle-Aquitaine
Archingeay,17380,Nouvelle-Aquitaine
Ardillières,17290,Nouvelle-Aquitaine
Ars-en-Ré,17590,Nouvelle-Aquitaine
Arthenac,17520,Nouvelle-Aquitaine
Arvert,17530,Nouvelle-Aquitaine
Asnières-la-Giraud,17400,Nouvelle-Aquitaine
Aujac,17770,Nouvelle-Aquitaine
Aulnay,17470,Nouvelle-Aquitaine
Aumagne,17770,Nouvelle-Aquitaine
Authon-Ébéon,17770,Nouvelle-Aquitaine
Avy,17800,Nouvelle-Aquitaine
Aytré,17440,Nouvelle-Aquitaine
Bagnizeau,17160,Nouvelle-Aquitaine
Balanzac,17600,Nouvelle-Aquitaine
Ballans,17160,Nouvelle-Aquitaine
Ballon,17290,Nouvelle-Aquitaine
Barde,17360,Nouvelle-Aquitaine
Barzan,17120,Nouvelle-Aquitaine
Bazauges,17490,Nouvelle-Aquitaine
Beaugeay,17620,Nouvelle-Aquitaine
Beauvais-sur-Matha,17490,Nouvelle-Aquitaine
Bedenac,17210,Nouvelle-Aquitaine
Belluire,17800,Nouvelle-Aquitaine
Benon,17170,Nouvelle-Aquitaine
Bercloux,17770,Nouvelle-Aquitaine
Bernay-Saint-Martin,17330,Nouvelle-Aquitaine
Berneuil,17460,Nouvelle-Aquitaine
Beurlay,17250,Nouvelle-Aquitaine
Bignay,17400,Nouvelle-Aquitaine
Biron,17800,Nouvelle-Aquitaine
Blanzac-lès-Matha,17160,Nouvelle-Aquitaine
Blanzay-sur-Boutonne,17470,Nouvelle-Aquitaine
Bois,17240,Nouvelle-Aquitaine
Bois-Plage-en-Ré,17580,Nouvelle-Aquitaine
Boisredon,17150,Nouvelle-Aquitaine
Bords,17430,Nouvelle-Aquitaine
Boresse-et-Martron,17270,Nouvelle-Aquitaine
Boscamnant,17360,Nouvelle-Aquitaine
Bougneau,17800,Nouvelle-Aquitaine
Bouhet,17540,Nouvelle-Aquitaine
Bourcefranc-le-Chapus,17560,Nouvelle-Aquitaine
Bourgneuf,17220,Nouvelle-Aquitaine
Boutenac-Touvent,17120,Nouvelle-Aquitaine
Bran,17210,Nouvelle-Aquitaine
Bresdon,17490,Nouvelle-Aquitaine
